eps	alpha
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.00221886	1.12705
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.000607729	1.12779
-0.00186938	1.12746
-0.00186938	1.12746
-0.00186938	1.12746
-0.00186938	1.12746
-0.00186938	1.12746
-0.00186938	1.12746
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
-0.000557605	1.1279
0.000201309	1.1284
0.000201309	1.1284
0.000201309	1.1284
0.000201309	1.1284
0.000201309	1.1284
-0.00146339	1.12708
-0.00146339	1.12708
-0.00146339	1.12708
-0.00146339	1.12708
-0.00146339	1.12708
-0.00146339	1.12708
-0.00146339	1.12708
-0.00146339	1.12708
-0.00146339	1.12708
-0.00181997	1.12599
-0.00181997	1.12599
-0.00181997	1.12599
-0.00181997	1.12599
-0.00181997	1.12599
-0.00181997	1.12599
-0.00115646	1.12772
6.67891e-06	1.12792
6.67891e-06	1.12792
6.67891e-06	1.12792
6.67891e-06	1.12792
6.67891e-06	1.12792
6.67891e-06	1.12792
6.67891e-06	1.12792
6.67891e-06	1.12792
6.67891e-06	1.12792
6.67891e-06	1.12792
6.67891e-06	1.12792
