B	eps
10.0942	-0.00397541
10.0942	-0.00397541
10.0942	-0.00397541
10.0942	-0.00397541
10.0942	-0.00397541
10.0942	-0.00397541
10.0942	-0.00397541
10.0942	-0.00397541
10.0942	-0.00397541
10.0942	-0.00397541
10.0942	-0.00397541
10.0968	-0.00411237
10.0968	-0.00411237
10.0968	-0.00411237
10.0995	-0.00285908
10.0995	-0.00285908
10.0995	-0.00285908
10.0995	-0.00285908
10.0995	-0.00285908
10.0995	-0.00285908
10.0995	-0.00285908
10.0995	-0.00285908
10.0995	-0.00285908
10.0995	-0.00285908
10.0995	-0.00285908
10.0995	-0.00285908
10.0995	-0.00285908
10.0995	-0.00285908
10.0996	-0.00139277
10.0996	-0.00139277
10.0996	-0.00139277
10.0996	-0.00139277
10.0996	-0.00139277
10.0996	-0.00139277
10.0996	-0.00139277
10.0996	-0.00139277
10.0996	-0.00139277
10.0996	-0.00139277
10.0996	-0.00139277
10.0996	-0.00139277
10.0996	-0.00139277
10.0996	-0.00139277
10.0996	-0.00139277
10.0996	-0.00139277
10.0996	-0.00139277
10.0996	-0.00139277
10.0974	-0.00223053
10.0974	-0.00223053
10.0974	-0.00223053
10.0974	-0.00223053
10.0974	-0.00223053
10.0974	-0.00223053
10.1011	-0.00344909
10.1011	-0.00344909
10.1011	-0.00344909
10.1011	-0.00344909
10.0959	-0.00362282
10.0959	-0.00362282
10.0959	-0.00362282
10.0959	-0.00362282
10.0959	-0.00362282
10.0959	-0.00362282
10.0959	-0.00362282
10.0959	-0.00362282
10.0959	-0.00362282
10.0959	-0.00362282
10.0959	-0.00362282
10.0959	-0.00362282
10.0959	-0.00362282
10.0959	-0.00362282
10.0959	-0.00362282
10.0936	-0.00378161
10.0936	-0.00378161
10.0936	-0.00378161
10.0936	-0.00378161
10.0936	-0.00378161
10.0936	-0.00378161
10.0936	-0.00378161
10.0936	-0.00378161
10.0936	-0.00378161
10.0936	-0.00378161
10.0936	-0.00378161
10.097	-0.00411294
10.097	-0.00411294
10.097	-0.00411294
10.0981	-0.00378095
10.0981	-0.00378095
10.0981	-0.00378095
10.0981	-0.00378095
10.0981	-0.00378095
10.0981	-0.00378095
10.0981	-0.00378095
10.0981	-0.00365154
10.0981	-0.00365154
10.0981	-0.00365154
10.0981	-0.00365154
10.0981	-0.00365154
10.0981	-0.00365154
10.0981	-0.00365154
10.0981	-0.00365154
10.098	-0.00130304
10.098	-0.00130304
10.098	-0.00130304
10.0986	-0.000942668
10.0986	-0.000942668
10.0986	-0.000942668
10.0986	-0.000942668
10.0986	-0.000942668
10.0986	-0.000942668
10.0986	-0.000942668
10.0986	-0.000942668
10.0986	-0.000942668
10.0986	-0.000942668
10.0986	-0.000942668
10.0986	-0.000942668
10.099	-0.000939524
10.098	-0.00176008
10.098	-0.00176008
10.098	-0.00176008
10.098	-0.00176008
10.098	-0.00176008
10.098	-0.00176008
10.098	-0.00176008
10.098	-0.00176008
10.098	-0.00176008
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0939	-0.00256168
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
