B	alpha
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
10.0943	1.1264
10.0943	1.1264
10.0943	1.1264
10.0943	1.1264
10.0943	1.1264
10.0943	1.1264
10.0943	1.1264
10.0943	1.1264
10.0943	1.1264
10.0943	1.1264
10.0943	1.1264
10.0943	1.1264
10.0943	1.1264
10.0943	1.1264
10.0943	1.1264
10.0981	1.12715
10.0981	1.12715
10.0981	1.12715
10.0981	1.12715
10.0981	1.12715
10.0981	1.12715
10.0962	1.12675
10.0962	1.12675
10.0962	1.12675
10.0962	1.12675
10.0962	1.12675
10.0962	1.12675
10.0962	1.12675
10.0962	1.12675
10.0962	1.12675
10.0962	1.12675
10.0962	1.12675
10.0962	1.12675
10.0962	1.12675
10.0962	1.12675
10.0962	1.12675
10.0962	1.12675
10.0962	1.12675
10.0962	1.12675
10.0962	1.12675
10.0971	1.12704
10.0971	1.12704
10.0982	1.12711
10.0982	1.12711
10.0974	1.12701
10.0986	1.1273
10.0986	1.1273
10.0986	1.1273
10.0986	1.1273
10.0986	1.1273
10.0986	1.1273
10.0986	1.1273
10.0986	1.1273
10.0986	1.1273
10.0986	1.1273
10.0968	1.12688
10.0968	1.12688
10.0968	1.12688
10.0968	1.12688
10.0968	1.12688
10.0968	1.12688
10.0968	1.12688
10.0968	1.12688
10.0968	1.12688
10.0968	1.12688
10.0969	1.12691
10.0969	1.12691
10.0969	1.12691
10.0969	1.12691
10.0969	1.12691
10.0969	1.12691
10.0969	1.12691
10.0969	1.12691
10.0969	1.12691
10.0969	1.12691
10.0969	1.12691
10.0969	1.12691
10.0969	1.12691
10.0969	1.12691
10.0969	1.12691
10.0969	1.12691
10.0969	1.12691
10.0969	1.12691
10.0967	1.12696
10.0967	1.12696
10.0953	1.12665
10.0953	1.12665
10.0953	1.12665
10.0953	1.12665
10.0956	1.12662
10.0956	1.12662
10.0956	1.12662
10.0958	1.12672
10.0958	1.12672
10.0958	1.12672
10.0958	1.12672
10.0958	1.12672
10.0958	1.12672
10.0967	1.127
10.0967	1.127
10.0967	1.127
10.0954	1.12661
10.0954	1.12661
10.0955	1.12657
10.0955	1.12657
10.0955	1.12657
10.0955	1.12657
10.0955	1.12657
10.0955	1.12657
10.0955	1.12657
10.0955	1.12657
10.0955	1.12657
10.0955	1.12657
10.0955	1.12657
10.0955	1.12663
10.0955	1.12663
10.0955	1.12663
10.0955	1.12663
10.0955	1.12663
10.0955	1.12663
10.0955	1.12663
10.0955	1.12663
10.0955	1.12663
10.0956	1.12655
10.0983	1.12715
10.0983	1.12715
10.0993	1.12751
10.0993	1.12751
10.0993	1.12751
10.0993	1.12751
10.0993	1.12751
10.0993	1.12751
10.0993	1.12751
10.0993	1.12751
10.0993	1.12751
10.0993	1.12751
10.1008	1.12785
10.1009	1.12775
10.1009	1.12775
10.1009	1.12775
10.1009	1.12775
10.1009	1.12775
10.1	1.12754
10.0975	1.12696
10.0975	1.12696
10.0983	1.12715
10.0983	1.12715
10.1014	1.12779
10.103	1.1283
10.0993	1.12752
10.0999	1.12752
10.0999	1.12752
10.0983	1.12731
10.0983	1.12731
10.0983	1.12731
10.0983	1.12731
10.0983	1.12731
10.0982	1.12709
10.0982	1.12709
10.0982	1.12709
10.0982	1.12709
10.0998	1.12749
10.0998	1.12749
10.1022	1.12809
10.1022	1.12809
10.1022	1.12809
10.1022	1.12809
10.1022	1.12809
10.1022	1.12809
10.1022	1.12809
10.1022	1.12809
10.1022	1.12809
10.1022	1.12809
10.1022	1.12809
10.1022	1.12809
10.1022	1.12809
10.1015	1.12788
10.1015	1.12788
10.1015	1.12788
10.1015	1.12788
10.1001	1.12758
10.1001	1.12758
10.1001	1.12758
10.1001	1.12758
10.0985	1.12734
10.0985	1.12734
10.0985	1.12734
10.0985	1.12734
10.0977	1.1272
10.0977	1.1272
10.0977	1.1272
10.1014	1.12807
10.1012	1.1278
10.0998	1.12763
10.0998	1.12763
10.1016	1.12804
10.1016	1.12804
10.1016	1.12804
10.1016	1.12804
10.1016	1.12804
10.1016	1.12804
10.1016	1.12804
10.1016	1.12804
10.1016	1.12804
10.1016	1.12804
10.1016	1.12804
10.1016	1.12804
10.1022	1.12803
10.1022	1.12803
10.1022	1.12803
10.1022	1.12803
10.1022	1.12803
10.1022	1.12803
10.1033	1.12824
10.1033	1.12824
10.1033	1.12824
10.1033	1.12824
10.1032	1.12815
10.0982	1.12706
10.0982	1.12706
10.0982	1.12706
10.0982	1.12706
10.0982	1.12706
10.0982	1.12706
10.0982	1.12706
10.0982	1.12706
10.0982	1.12706
10.0982	1.12706
10.0982	1.12706
10.0982	1.12706
10.0982	1.12706
10.0987	1.12716
10.0987	1.12716
10.0983	1.12716
10.0983	1.12716
10.0983	1.1271
10.0983	1.1271
10.0975	1.12705
10.0986	1.12715
10.1012	1.12793
10.1012	1.12793
10.1	1.12772
10.1	1.12772
10.1	1.12772
10.1	1.12772
10.1	1.12772
10.1	1.12772
10.1003	1.12765
10.0974	1.12699
10.0966	1.12689
10.0966	1.12689
10.0966	1.12689
10.097	1.12693
10.097	1.12693
10.097	1.12693
10.097	1.12697
10.097	1.12697
10.097	1.12697
10.097	1.12697
10.097	1.12697
10.0989	1.12741
10.0989	1.12741
10.0978	1.12729
10.1012	1.12789
10.1018	1.12799
10.1018	1.12799
10.102	1.12811
10.102	1.12811
10.0994	1.12763
10.1003	1.12777
10.1003	1.12777
10.0997	1.12767
10.0997	1.12767
10.0997	1.12767
10.0997	1.12767
10.1009	1.12796
10.0989	1.12749
10.0989	1.12749
10.0989	1.12749
10.0989	1.12749
10.0989	1.12749
10.0996	1.12755
10.098	1.12719
10.098	1.12719
10.098	1.12719
10.098	1.12719
10.0985	1.12748
10.1003	1.12792
10.1003	1.12792
10.1003	1.12792
10.1003	1.12792
10.1001	1.1277
10.1001	1.1277
10.1001	1.1277
10.0993	1.12758
10.0993	1.12758
10.0993	1.12758
10.0993	1.12758
10.0993	1.12758
10.0993	1.12758
10.0993	1.12758
10.0993	1.12758
10.0993	1.12758
10.0993	1.12758
10.0993	1.12758
10.0993	1.12758
10.0993	1.12758
10.0993	1.12758
10.0993	1.12758
10.0981	1.12737
10.0963	1.12682
10.0975	1.12726
10.0975	1.12726
10.0975	1.12726
10.0975	1.12726
10.0975	1.12726
10.0975	1.12726
10.0975	1.12726
10.096	1.12686
10.096	1.12686
10.096	1.12686
10.096	1.12686
10.096	1.12686
10.096	1.12686
10.0938	1.12631
10.0938	1.12631
10.0938	1.12631
10.0938	1.12631
10.0938	1.12631
10.0954	1.12662
10.0954	1.12662
10.0945	1.12654
10.0961	1.1268
10.0961	1.1268
10.0961	1.1268
10.0961	1.1268
10.0968	1.12693
10.0968	1.12693
10.0968	1.12693
10.0968	1.12693
10.0968	1.12693
10.0968	1.12693
10.0968	1.12693
10.0968	1.12693
10.0968	1.12693
10.0968	1.12693
10.0966	1.12689
10.0966	1.12689
10.0946	1.12653
10.0941	1.12642
10.0941	1.12642
10.0952	1.12672
10.0974	1.12718
10.0975	1.12722
10.0975	1.12722
10.0975	1.12722
10.0975	1.12722
10.0986	1.12749
10.0986	1.12749
10.0986	1.12749
10.0986	1.12749
10.0986	1.12749
10.0978	1.12734
10.0978	1.12734
10.0976	1.12719
10.0976	1.12719
10.0976	1.12719
10.0976	1.12719
10.0976	1.12719
10.0976	1.12719
10.0966	1.12699
10.0966	1.12699
10.0966	1.12699
10.0966	1.12699
10.0963	1.12694
10.0959	1.12681
10.0959	1.12681
10.0948	1.1266
10.0948	1.1266
10.0948	1.1266
10.0948	1.1266
10.0948	1.1266
10.0948	1.1266
10.0948	1.1266
10.0951	1.12675
10.0951	1.12675
10.0968	1.12693
10.0968	1.12693
10.0972	1.1271
10.0972	1.1271
10.0972	1.1271
10.0972	1.1271
10.0968	1.12694
10.0968	1.12694
10.098	1.12728
10.098	1.12728
10.098	1.12728
10.098	1.12728
10.0967	1.12694
10.0952	1.12665
10.0932	1.12623
10.0929	1.12614
10.0929	1.12614
10.0929	1.12614
10.0929	1.12614
10.0929	1.12614
10.0929	1.12614
10.0934	1.12627
10.0943	1.12644
10.0953	1.1267
10.0959	1.1268
10.0959	1.1268
10.0959	1.1268
10.0959	1.1268
10.0959	1.1268
10.0959	1.1268
10.0961	1.12683
10.0961	1.12683
10.0961	1.12683
10.0943	1.12645
10.0943	1.12645
10.0949	1.1266
10.0949	1.1266
10.0949	1.1266
10.0932	1.1262
10.0925	1.126
10.0925	1.126
10.0925	1.126
10.0925	1.126
10.0925	1.126
10.0936	1.12626
10.0936	1.12626
10.0936	1.12626
10.0918	1.12594
10.092	1.12582
10.092	1.12582
10.092	1.12582
10.092	1.12582
10.092	1.12582
10.092	1.12582
10.0904	1.12547
10.0915	1.12566
10.0913	1.12573
10.0913	1.12573
10.0913	1.12573
10.0928	1.12614
10.0934	1.12626
10.093	1.12602
10.0935	1.12619
10.0935	1.12619
10.0935	1.12619
10.0935	1.12619
10.0947	1.12652
10.0947	1.12652
10.0929	1.12604
10.0923	1.12587
10.0923	1.12587
10.0923	1.12587
10.0929	1.12604
10.0929	1.12604
10.0932	1.12604
10.0933	1.12619
10.0945	1.12649
10.0953	1.12671
10.0953	1.12671
10.0961	1.12673
10.0961	1.12673
10.0961	1.12673
10.0972	1.12715
10.0964	1.1269
10.0964	1.1269
10.0964	1.1269
10.0963	1.12686
10.0966	1.12691
10.0966	1.12691
10.0974	1.12708
10.0963	1.12686
10.0963	1.12686
10.0963	1.12686
10.0963	1.12686
10.0963	1.12686
10.0966	1.12693
10.0966	1.12693
10.0966	1.12693
10.0966	1.12693
10.0966	1.12693
10.0966	1.12693
10.0963	1.12687
10.0963	1.12687
10.0963	1.12687
10.0963	1.12687
10.0965	1.12683
10.0965	1.12683
10.0965	1.12683
10.0965	1.12683
10.0967	1.12689
10.0967	1.12689
10.0967	1.12689
10.0971	1.12692
10.0964	1.1269
10.0967	1.12695
10.0967	1.12695
10.0967	1.12695
10.0967	1.12695
10.0967	1.12695
10.0967	1.12695
10.0961	1.12687
10.0957	1.12685
10.0957	1.12685
10.0968	1.12699
10.0968	1.12699
10.0968	1.12699
10.0973	1.12712
10.0973	1.12712
10.0973	1.12712
10.0973	1.12712
10.0973	1.12712
10.0967	1.12699
10.0965	1.12691
10.0965	1.12691
10.0965	1.12691
10.096	1.12672
10.096	1.12672
10.096	1.12672
10.0958	1.12667
10.0951	1.12653
10.0951	1.12653
10.0951	1.12653
10.0951	1.12653
10.0951	1.12653
10.0951	1.12653
10.0947	1.12644
10.0947	1.12644
10.0947	1.12644
10.0948	1.12644
10.0948	1.12644
10.0948	1.12644
10.0948	1.12644
10.0935	1.12621
10.0935	1.12621
10.0935	1.12621
10.0935	1.12621
10.0938	1.12621
10.093	1.12598
10.093	1.12598
10.094	1.12631
10.094	1.12631
10.094	1.12631
10.094	1.12631
10.0944	1.1264
10.0942	1.12628
10.0942	1.12628
10.0951	1.1265
10.0966	1.12684
10.0966	1.12684
10.0966	1.12684
10.0972	1.12708
10.0972	1.12708
10.0968	1.12696
10.0968	1.12696
10.0968	1.12696
10.0968	1.12696
10.0968	1.12696
10.097	1.12696
10.097	1.12696
10.097	1.12696
10.097	1.12696
10.097	1.12696
10.097	1.12696
10.097	1.12688
10.097	1.12688
10.097	1.12688
10.0954	1.12669
10.0954	1.12669
10.0956	1.12666
10.0956	1.12666
10.0956	1.12666
10.0956	1.12666
10.0949	1.12652
10.0949	1.12652
10.0949	1.12652
